행정구역,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_60~64세,2020년_계_65~69세,2020년_남_총인구수,2020년_남_연령구간인구수,2020년_남_60~64세,2020년_남_65~69세,2020년_여_총인구수,2020년_여_연령구간인구수,2020년_여_60~64세,2020년_여_65~69세,2021년_계_총인구수,2021년_계_연령구간인구수,2021년_계_60~64세,2021년_계_65~69세,2021년_남_총인구수,2021년_남_연령구간인구수,2021년_남_60~64세,2021년_남_65~69세,2021년_여_총인구수,2021년_여_연령구간인구수,2021년_여_60~64세,2021년_여_65~69세,2022년_계_총인구수,2022년_계_연령구간인구수,2022년_계_60~64세,2022년_계_65~69세,2022년_남_총인구수,2022년_남_연령구간인구수,2022년_남_60~64세,2022년_남_65~69세,2022년_여_총인구수,2022년_여_연령구간인구수,2022년_여_60~64세,2022년_여_65~69세,2022년_계_총인구수,2022년_계_연령구간인구수,2022년_계_60~64세,2022년_계_65~69세,2022년_남_총인구수,2022년_남_연령구간인구수,2022년_남_60~64세,2022년_남_65~69세,2022년_여_총인구수,2022년_여_연령구간인구수,2022년_여_60~64세,2022년_여_65~69세,2023년_계_총인구수,2023년_계_연령구간인구수,2023년_계_60~64세,2023년_계_65~69세,2023년_남_총인구수,2023년_남_연령구간인구수,2023년_남_60~64세,2023년_남_65~69세,2023년_여_총인구수,2023년_여_연령구간인구수,2023년_여_60~64세,2023년_여_65~69세,2024년_계_총인구수,2024년_계_연령구간인구수,2024년_계_60~64세,2024년_계_65~69세,2024년_남_총인구수,2024년_남_연령구간인구수,2024년_남_60~64세,2024년_남_65~69세,2024년_여_총인구수,2024년_여_연령구간인구수,2024년_여_60~64세,2024년_여_65~69세
강원도  (4200000000),"1,542,840","241,578","141,486","100,092","776,505","120,154","70,873","49,281","766,335","121,424","70,613","50,811","1,538,492","260,158","148,211","111,947","774,332","129,786","74,074","55,712","764,160","130,372","74,137","56,235","1,536,498","267,950","149,999","117,951","772,947","134,060","74,898","59,162","763,551","133,890","75,101","58,789","1,536,498","267,950","149,999","117,951","772,947","134,060","74,898","59,162","763,551","133,890","75,101","58,789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청북도  (4300000000),"1,600,837","223,341","131,059","92,282","811,591","111,733","66,257","45,476","789,246","111,608","64,802","46,806","1,597,427","241,697","139,302","102,395","810,672","121,418","70,576","50,842","786,755","120,279","68,726","51,553","1,595,058","251,466","142,582","108,884","810,782","126,901","72,581","54,320","784,276","124,565","70,001","54,564",0,0,0,0,0,0,0,0,0,0,0,0,"1,527,807","275,323","147,791","127,532","768,449","138,020","73,992","64,028","759,358","137,303","73,799","63,504","1,517,766","279,134","144,120","135,014","763,025","140,049","72,601","67,448","754,741","139,085","71,519","67,566"
충청남도  (4400000000),"2,121,029","279,372","160,893","118,479","1,082,634","139,575","81,422","58,153","1,038,395","139,797","79,471","60,326","2,119,257","299,801","172,007","127,794","1,083,366","150,583","87,563","63,020","1,035,891","149,218","84,444","64,774","2,123,037","313,734","178,108","135,626","1,086,632","158,781","91,234","67,547","1,036,405","154,953","86,874","68,079","1,595,058","251,466","142,582","108,884","810,782","126,901","72,581","54,320","784,276","124,565","70,001","54,564","1,593,469","257,982","140,864","117,118","810,448","130,480","71,826","58,654","783,021","127,502","69,038","58,464","1,591,177","264,085","139,672","124,413","809,920","133,917","71,556","62,361","781,257","130,168","68,116","62,052"
전라북도  (4500000000),"1,804,104","255,829","145,971","109,858","896,874","126,312","72,891","53,421","907,230","129,517","73,080","56,437","1,786,855","268,393","152,346","116,047","888,994","132,849","76,128","56,721","897,861","135,544","76,218","59,326","1,769,607","277,139","154,760","122,379","880,592","137,871","77,504","60,367","889,015","139,268","77,256","62,012","2,123,037","313,734","178,108","135,626","1,086,632","158,781","91,234","67,547","1,036,405","154,953","86,874","68,079","2,130,119","325,082","178,911","146,171","1,091,570","165,155","92,115","73,040","1,038,549","159,927","86,796","73,131","2,136,574","335,114","179,860","155,254","1,096,128","171,071","93,129","77,942","1,040,446","164,043","86,731","77,312"
전라남도  (4600000000),"1,851,549","272,377","155,958","116,419","930,615","137,191","79,664","57,527","920,934","135,186","76,294","58,892","1,832,803","284,871","163,865","121,006","922,221","144,081","83,910","60,171","910,582","140,790","79,955","60,835","1,817,697","293,838","166,649","127,189","915,272","149,873","86,000","63,873","902,425","143,965","80,649","63,316","1,769,607","277,139","154,760","122,379","880,592","137,871","77,504","60,367","889,015","139,268","77,256","62,012","1,754,757","284,897","155,099","129,798","873,419","142,143","78,104","64,039","881,338","142,754","76,995","65,759",0,0,0,0,0,0,0,0,0,0,0,0
경상북도  (4700000000),"2,639,422","409,250","231,772","177,478","1,329,211","202,941","116,764","86,177","1,310,211","206,309","115,008","91,301","2,626,609","433,047","242,715","190,332","1,323,661","215,957","122,782","93,175","1,302,948","217,090","119,933","97,157","2,600,492","446,069","247,585","198,484","1,311,881","224,099","125,483","98,616","1,288,611","221,970","122,102","99,868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,738,690","288,862","152,630","136,232","866,030","144,724","77,361","67,363","872,660","144,138","75,269","68,869"
경상남도  (4800000000),"3,340,216","462,731","270,313","192,418","1,681,423","230,016","135,870","94,146","1,658,793","232,715","134,443","98,272","3,314,183","494,113","285,952","208,161","1,668,338","245,713","143,504","102,209","1,645,845","248,400","142,448","105,952","3,280,493","514,199","293,740","220,459","1,651,675","256,450","147,739","108,711","1,628,818","257,749","146,001","111,748","1,817,697","293,838","166,649","127,189","915,272","149,873","86,000","63,873","902,425","143,965","80,649","63,316","1,804,217","305,457","167,935","137,522","909,548","156,840","87,177","69,663","894,669","148,617","80,758","67,859","1,788,819","311,699","165,085","146,614","902,380","160,720","86,296","74,424","886,439","150,979","78,789","72,190"
제주특별자치도  (5000000000),"674,635","79,761","47,445","32,316","338,609","39,555","23,863","15,692","336,026","40,206","23,582","16,624","676,759","84,877","49,653","35,224","339,177","42,122","24,965","17,157","337,582","42,755","24,688","18,067","678,159","89,005","51,193","37,812","339,590","44,241","25,767","18,474","338,569","44,764","25,426","19,338","2,600,492","446,069","247,585","198,484","1,311,881","224,099","125,483","98,616","1,288,611","221,970","122,102","99,868","2,554,324","449,427","245,119","204,308","1,290,298","226,589","124,507","102,082","1,264,026","222,838","120,612","102,226","2,531,384","457,429","239,273","218,156","1,280,547","231,244","122,595","108,649","1,250,837","226,185","116,678","109,507"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,280,493","514,199","293,740","220,459","1,651,675","256,450","147,739","108,711","1,628,818","257,749","146,001","111,748","3,251,158","529,417","292,560","236,857","1,636,987","265,076","147,478","117,598","1,614,171","264,341","145,082","119,259","3,228,380","540,616","289,196","251,420","1,626,926","270,511","145,940","124,571","1,601,454","270,105","143,256","126,849"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"678,159","89,005","51,193","37,812","339,590","44,241","25,767","18,474","338,569","44,764","25,426","19,338","675,252","93,983","52,813","41,170","337,976","46,954","26,660","20,294","337,276","47,029","26,153","20,876","670,368","96,993","53,119","43,874","335,255","48,562","26,968","21,594","335,113","48,431","26,151","22,280"
